variable,parameter,mean,sd,HDI%,comp,HDIlo,HDIup,%>comp,%<comp,q2.5%,q25%,median,q75%,q97.5%,mcmc_se,Rhat,n_eff
cloud,mu,-0.64957210024897,0.060542926900773,95,0,-0.772479721402314,-0.534037380591736,3.33311112592494E-05,0.999966668888741,-0.768972664869183,-0.690748735290438,-0.649564330785836,-0.608652457352302,-0.52978769397303,0.00044589009151,1.00020949064373,18438
cloud,sigma,1.20072052590669,0.076144712514245,95,0,1.05172413802888,1.35066990838646,0.999966668888741,3.33311112592494E-05,1.05515179013203,1.14855905971533,1.19870714515219,1.25191938267341,1.35463973167069,0.00114780330999,1.0011602834757,4422
cloud,nu,5.2570725098015,1.61254657057107,95,0,2.79520731585425,8.39609056414585,0.999966668888741,3.33311112592494E-05,3.16748027861617,4.16886530786463,4.92755234357636,5.95404391486507,9.35504545379543,0.026905769810056,1.00109598488237,3602
cloud,eff_size,-0.543192341049519,0.061431943165262,95,0,-0.665170034195006,-0.425992384837475,3.33311112592494E-05,0.999966668888741,-0.665836114938033,-0.583885308328699,-0.541653824953553,-0.500890134218532,-0.426369485264851,0.000648565253878,1.00052051430258,8989
cloud,x_pred,-0.651154090569949,1.57322474470842,95,0,-3.75025386247293,2.44733422498119,0.303146456902873,0.696853543097127,-3.77111911914158,-1.51551480736438,-0.650450763908299,0.211756566460069,2.42669880707386,0.009083272230333,1.00003582845987,30000
temperature,mu,31.0307110698285,0.652408359122564,95,0,29.7157529418408,32.2819333252251,0.999966668888741,3.33311112592494E-05,29.7464770677949,30.5876813121434,31.0310786843927,31.4716070878444,32.3178532571196,0.004880001420642,1.00028734343597,17934
temperature,sigma,14.4338441007881,0.494344860700447,95,0,13.4991463621083,15.4449724543098,0.999966668888741,3.33311112592494E-05,13.472020148629,14.1005795400192,14.429643235636,14.7627240027466,15.4233962116541,0.004111611655817,1.00015431544433,14481
temperature,nu,58.9336419355109,34.4098411393895,95,0,10.8578272949435,126.485849587101,0.999966668888741,3.33311112592494E-05,16.6738871930937,34.3778131518871,50.8444409274508,74.8729728013301,147.393041953847,0.402454136740855,1.0007434623235,7361
temperature,eff_size,2.15232444629194,0.085061036388099,95,0,1.98267767453269,2.31614789424524,0.999966668888741,3.33311112592494E-05,1.98858535831523,2.09480911460971,2.15145294273236,2.20882939905363,2.32242674723397,0.000674737772711,1.00014450027863,15904
temperature,x_pred,31.0546068189889,14.8549508129611,95,0,1.15531885945514,59.6332126470465,0.980401306579561,0.019598693420439,1.74205954770137,21.2825133734228,31.1428577939376,41.0016257042593,60.3790919821528,0.085764301753803,1.00002051692011,29999
min_temperature,mu,19.2803776178045,0.336910169957922,95,0,18.63101532994,19.9508961299155,0.999966668888741,3.33311112592494E-05,18.6232179654192,19.0544368004545,19.2772647822803,19.5079595086075,19.9457814144706,0.002529482324661,1.00008461832891,17767
min_temperature,sigma,7.30165131816816,0.327788982170063,95,0,6.65228470128367,7.93858660337765,0.999966668888741,3.33311112592494E-05,6.64857348965964,7.08323883150082,7.30830495354976,7.52544478104492,7.93593859811768,0.004082243789273,1.00018189071156,6449
min_temperature,nu,23.6818137740781,17.7217538043165,95,0,5.01552666664342,59.3396651312564,0.999966668888741,3.33311112592494E-05,7.49071860063717,12.6720996361799,18.1690339166038,27.999043496477,74.1409717492476,0.324176417906497,1.00220967514222,3360
min_temperature,eff_size,2.64582360965803,0.126355743490187,95,0,2.40741218262636,2.90199487190038,0.999966668888741,3.33311112592494E-05,2.41316390166145,2.55799243826151,2.63983899116044,2.72702354431171,2.90864733536633,0.001468059783811,1.00020254147363,7437
min_temperature,x_pred,19.2894727953223,7.80311730836951,95,0,4.03243705197086,34.7618940467662,0.991333911072595,0.008666088927405,3.87596644609518,14.1823948727204,19.2752848935713,24.4120852961895,34.6428442244112,0.044387427767877,0.999929631275923,30957
max_temperature,mu,18.7762036375126,0.363052850863085,95,0,18.0836034614127,19.5089056945351,0.999966668888741,3.33311112592494E-05,18.0613454990302,18.532615923109,18.7725884547772,19.0212929342061,19.4878903488215,0.00264056474615,1.00009047971097,18937
max_temperature,sigma,7.97335389670747,0.334193383371159,95,0,7.30865949801464,8.62198225123099,0.999966668888741,3.33311112592494E-05,7.30579974256767,7.74833432107224,7.97607515240338,8.20137541521598,8.6197540276086,0.003941662717518,1.00017224757216,7209
max_temperature,nu,30.0020984863704,22.2443004606166,95,0,6.09007060151942,75.1538489945736,0.999966668888741,3.33311112592494E-05,8.77193034348746,15.6459003110266,23.00446715049,36.2293490938532,93.300279771423,0.367194198885369,1.00282814097874,3701
max_temperature,eff_size,2.35900709243631,0.10888847391405,95,0,2.1454654110982,2.57141735867019,0.999966668888741,3.33311112592494E-05,2.15696471935627,2.28318064582596,2.35461857199826,2.43035973624268,2.58518470217083,0.001192500862292,1.00020011715647,8339
max_temperature,x_pred,18.6779917818725,8.36826534607938,95,0,1.91966727056045,35.1055183618597,0.984801013265782,0.015198986734218,2.01952038301753,13.2041088172346,18.6766101394028,24.127971807396,35.2529395838416,0.048743762567438,1.0000500489957,29488
dewpoint,mu,30.5358743197689,0.707206067502739,95,0,29.1526023801751,31.928575055077,0.999966668888741,3.33311112592494E-05,29.147638179566,30.0616334495433,30.5313753512034,31.0080786069995,31.9248965424372,0.005381930488441,1.00007331373427,17289
dewpoint,sigma,15.6789670080367,0.567626813768225,95,0,14.5579881352118,16.7825414420075,0.999966668888741,3.33311112592494E-05,14.5611885073797,15.3011003414265,15.6783782702758,16.0614347755996,16.7874602427502,0.005343565667333,1.00009677704903,11394
dewpoint,nu,47.7286498641203,30.0689711035729,95,0,8.17555934860028,108.263435291356,0.999966668888741,3.33311112592494E-05,13.1604817306732,26.2738594999892,39.6386151497122,60.9994330496127,126.688515611345,0.389119824164004,1.00343346889479,5997
dewpoint,eff_size,1.95007772325725,0.08274026650621,95,0,1.79036023528925,2.11443359033728,0.999966668888741,3.33311112592494E-05,1.79336933329052,1.89382021393503,1.9476495757745,2.00449875641713,2.11788793388773,0.000717924572922,1.00008988259261,13372
