realm,variable,parameter,mean,sd,HDI%,comp,HDIlo,HDIup,%>comp,%<comp,q2.5%,q25%,median,q75%,q97.5%,mcmc_se,Rhat,n_eff
Tropical landmasses,cloud,mu,-7.3246214431213,0.026326204027569,95,0,-7.37631083936923,-7.27314337671256,3.33311112592494E-05,0.999966668888741,-7.37620189331415,-7.34229689731335,-7.3248887465652,-7.30689380810875,-7.27297205760411,0.000268225313689,1.00027651926509,9654
Tropical landmasses,cloud,sigma,8.70530493242758,0.028051804593225,95,0,8.64978138974374,8.76007079157463,0.999966668888741,3.33311112592494E-05,8.64986106871805,8.68644125247029,8.70520664829557,8.7241561228224,8.76025375547085,0.000342371087033,1.00084850163464,6744
Tropical landmasses,cloud,nu,1.78628121504484,0.009476004959911,95,0,1.76800369149777,1.80529153259676,0.999966668888741,3.33311112592494E-05,1.76780364153427,1.77991741036438,1.7862682007514,1.79255122195518,1.80516352902004,0.000114544072123,1.00092805353291,6848
Tropical landmasses,cloud,eff_size,-0.841401863944505,0.003034540004499,95,0,-0.847334284513188,-0.835457313423428,3.33311112592494E-05,0.999966668888741,-0.847327866708062,-0.843430071140813,-0.841395456048705,-0.839359824349155,-0.835441661394483,2.08002600012968E-05,1.00025405279246,21277
Tropical landmasses,cloud,x_pred,-7.37023267911335,34.9909653537809,95,0,-51.0233818868688,35.5517636882357,0.24598360109326,0.75401639890674,-49.8576418966518,-14.6723865323388,-7.4145545070812,-0.186886014516571,36.8939905404444,0.202019113717459,1.00441447154872,29999
Neotropic,cloud,mu,-11.3279,0.9693,95,0,-13.2296,-9.447,0,1,-13.2296,-11.9803,-11.3244,-10.6693,-9.4477,0.0071,1,18581
Neotropic,cloud,sigma,13.869,1.106,95,0,11.7309,16.0528,1,0,11.7319,13.1082,13.8571,14.6224,16.0552,0.0179,1.0013,4027
Neotropic,cloud,nu,9.7909,7.8951,95,0,2.6645,23.0972,1,0,3.5945,5.6295,7.5889,11.0201,30.1512,0.2657,1.0757,1514
Neotropic,cloud,eff_size,-0.8216,0.093,95,0,-1.003,-0.6375,0,1,-1.0147,-0.8823,-0.8183,-0.757,-0.6477,0.0011,1.0004,7823
Neotropic,cloud,x_pred,-11.2322,16.4914,95,0,-43.787,21.3148,0.2238,0.7762,-43.7777,-21.2003,-11.1991,-1.3748,21.3337,0.0947,1.0002,30304
Neotropic,temperature,mu,350.5582,11.0126,95,0,328.6178,371.8089,1,0,328.8506,343.1945,350.5786,357.905,372.1919,0.0823,1.0009,17924
Neotropic,temperature,sigma,172.7776,8.0176,95,0,157.154,188.5644,1,0,157.7181,167.3056,172.4744,178.0212,189.233,0.0606,1.0002,17529
Neotropic,temperature,nu,61.0618,35.2785,95,0,12.0462,132.1296,1,0,17.355,35.771,52.8783,77.3662,151.7581,0.38,1.0002,8628
Neotropic,temperature,eff_size,2.0333,0.1133,95,0,1.8046,2.2499,1,0,1.814,1.9563,2.0328,2.1081,2.2594,0.0008,1.0002,18125
Neotropic,temperature,x_pred,350.8009,176.9854,95,0,1.9833,696.0435,0.9765,0.0235,4.2961,232.9331,350.3427,468.3492,698.9756,1.0218,1,29999
Neotropic,min_temperature,mu,215.0659,4.9696,95,0,205.3967,224.7972,1,0,205.3236,211.7523,215.0538,218.3916,224.7525,0.0382,1.0007,16894
Neotropic,min_temperature,sigma,75.018,4.4325,95,0,66.0623,83.5235,1,0,66.2493,72.06,75.0447,77.9719,83.7587,0.0502,1.0002,7835
Neotropic,min_temperature,nu,27.5791,22.6557,95,0,4.0812,73.1127,1,0,6.7225,12.934,20.2196,33.9342,90.1572,0.386,1.0001,3532
Neotropic,min_temperature,eff_size,2.8774,0.1914,95,0,2.5092,3.2534,1,0,2.5368,2.7453,2.8657,2.9976,3.2853,0.0021,1.0001,8040
Neotropic,min_temperature,x_pred,214.6017,79.974,95,0,56.193,370.7822,0.9946,0.0054,56.3488,162.7813,215.1796,266.0969,371.0991,0.4617,1.0003,29999
Neotropic,max_temperature,mu,214.305,5.3408,95,0,203.93,224.8098,1,0,203.6772,210.7633,214.3315,217.9091,224.6045,0.0405,1.0002,17412
Neotropic,max_temperature,sigma,79.6824,4.544,95,0,70.8647,88.7111,1,0,70.7445,76.681,79.6902,82.6759,88.6216,0.0497,1.0006,8422
Neotropic,max_temperature,nu,31.5517,25.1638,95,0,4.4431,81.517,1,0,7.3034,14.6612,23.8778,39.9466,99.3664,0.4294,1.0035,3699
Neotropic,max_temperature,eff_size,2.6987,0.1751,95,0,2.3631,3.0471,1,0,2.3796,2.578,2.6883,2.8095,3.0692,0.0019,1.0003,8760
Neotropic,max_temperature,x_pred,213.5419,84.6461,95,0,46.3486,380.5028,0.9929,0.0071,46.5616,158.019,213.3914,269.006,380.9792,0.4887,1.0002,29999
Neotropic,precipitation,mu,-106.487,19.022,95,0,-144.033,-69.3447,0,1,-143.9935,-119.2733,-106.3109,-93.607,-69.2736,0.1454,1.0003,17175
Neotropic,precipitation,sigma,276.037,17.8786,95,0,240.8161,310.9844,1,0,241.3086,263.9663,275.8244,287.7736,311.6621,0.2018,1.0007,7851
Neotropic,precipitation,nu,10.5153,5.5932,95,0,3.6072,20.9917,1,0,4.5795,6.9934,9.0851,12.3004,24.9837,0.0867,1.0103,4265
Neotropic,precipitation,eff_size,-0.387,0.0715,95,0,-0.5261,-0.2457,0,1,-0.5283,-0.4348,-0.3861,-0.3385,-0.2475,0.0005,1.0001,17044
Neotropic,precipitation,x_pred,-107.1169,314.8253,95,0,-720.5262,541.3545,0.3498,0.6502,-732.3734,-300.2336,-108.4187,82.9639,531.2468,1.8177,0.9999,29999
Neotropic,dewpoint,mu,308.5931,11.194,95,0,285.9812,329.9282,1,0,286.565,301.0679,308.6062,316.068,330.6131,0.0838,1.001,17858
Neotropic,dewpoint,sigma,175.8961,8.2085,95,0,160.226,192.3713,1,0,160.4083,170.3186,175.5927,181.2974,192.6487,0.0625,1.0003,17274
Neotropic,dewpoint,nu,59.404,34.8943,95,0,10.4399,127.9661,1,0,16.6066,34.4598,51.3279,75.5051,147.0802,0.379,1.0007,8643
Neotropic,dewpoint,eff_size,1.7582,0.1041,95,0,1.5554,1.9638,1,0,1.558,1.688,1.7573,1.826,1.9676,0.0008,1.001,17456
Neotropic,dewpoint,x_pred,306.3959,180.5085,95,0,-46.7496,661.0087,0.9564,0.0436,-48.4993,186.1228,307.1763,426.4649,660.0237,1.0421,1.0003,29999
Neotropic,pressure,mu,20521.3904,342.297,95,0,19845.1075,21182.0983,1,0,19856.533,20286.8088,20517.058,20751.3133,21194.7309,2.6869,1.0004,16272
Neotropic,pressure,sigma,5087.8718,334.3685,95,0,4430.8357,5735.4688,1,0,4408.4838,4868.0029,5097.1566,5316.6447,5718.3142,4.3727,1.0008,5932
