id,longitude,latitude,weight,tmcf,remove,country,realm,elevation,cloud,temperature,min_temperature,max_temperature,precipitation,dewpoint,pressure,vswc,PET
115,115.199986,4.483319,7.721005686,Bukit Belalong,,BRN,Indomalayan,528,0.001715634,0.031064238,0.009502638,0.007170009,-0.008887151,0.042088315,1.3542837,0.00066133,0.000257351
116,80.800014,6.933319,7.687636185,Hakgala Peak,,LKA,Indomalayan,1805,-0.000980156,0.017632205,0.01675737,0.016037509,-0.0012448,0.023270648,0.7102111,-0.000240413,-0.000166163
117,80.749986,6.800014,7.689818643,Kirigalpota,,LKA,Indomalayan,1964,-0.001016403,0.018571401,0.01792397,0.017341748,0.008614133,0.021726098,0.6134931,-0.000202803,-0.000133829
118,80.516681,6.783319,7.690089003,Sri Pada/Adam's Peak,,LKA,Indomalayan,1704,-0.001560405,0.024523789,0.021225821,0.020676635,0.03322723,0.023456236,0.24372146,-0.000144026,-0.000133829
119,80.749986,7.016681,7.686249976,Pidurutalagala,,LKA,Indomalayan,2237,-0.000873244,0.016283391,0.015362335,0.01452571,0.006513221,0.02520006,0.73394895,-0.000222492,-0.000195951
120,80.749986,6.916681,7.687910883,Conical Hill,,LKA,Indomalayan,1610,-0.000980156,0.017632205,0.01675737,0.016037509,-0.000405211,0.023270648,0.7102111,-0.000240413,-0.00016733
121,80.716681,6.983319,7.686806723,Kikilimana,,LKA,Indomalayan,1865,-0.000980156,0.017632205,0.01675737,0.016037509,-0.022769513,0.023270648,0.7102111,-0.000240413,-0.00016733
122,80.800014,7.047208,7.685738227,Mahakudugala,,LKA,Indomalayan,1702,-0.000873244,0.016283391,0.015362335,0.01452571,0.015962034,0.02520006,0.73394895,-0.000222492,-0.000200181
123,81.116681,6.933319,7.687636185,Namunukula,,LKA,Indomalayan,1837,6.37E-05,0.00317167,0.007008832,0.005261133,0.000135185,0.028068123,0.61006486,0.000323195,-0.000159964
124,80.666653,6.933319,7.687636185,Nanuoya,,LKA,Indomalayan,1215,-0.001231046,0.021200987,0.019004134,0.01838628,-0.018454814,0.023403054,0.5258858,-0.000252348,-0.00013388
125,80.849986,7.016681,7.686249976,Ragala,,LKA,Indomalayan,1588,-0.000318968,0.007874861,0.008773097,0.007344022,0.013249293,0.03132827,0.7389144,0.000246154,-0.000151556
